MS SubClass,MS Zoning,Lot Area,Neighborhood,Overall Qual,Year Built,Gr Liv Area,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Garage Cars,Garage Area,SalePrice
60,RL,10421,NWAmes,7,1988,1714,0,2,3,2,496,196500
20,RL,9360,NWAmes,6,1972,1381,1,1,3,2,676,197500
60,RL,9600,NWAmes,6,1971,1645,0,1,4,2,441,171000
20,RL,9600,NAmes,5,1966,1232,1,1,3,2,490,142250
20,RL,9790,NWAmes,6,1963,1328,1,1,3,2,528,143000
20,RL,9320,NAmes,4,1959,1225,1,1,3,0,0,128950
20,RL,9900,NAmes,5,1966,1209,1,1,3,2,504,159000
20,RL,9680,NAmes,5,1967,1510,1,2,3,2,517,178900
80,RL,10600,NAmes,6,1964,1775,0,2,3,2,480,136300
80,RL,14112,NAmes,5,1964,1152,1,1,3,2,484,180500
85,RL,8800,NAmes,6,1963,1054,1,1,3,2,480,137500
90,RL,13260,NAmes,5,1962,1728,2,2,6,0,0,84900
20,RL,9717,NAmes,5,1950,1078,1,1,2,1,240,142125
50,RL,9724,NAmes,5,1952,2461,0,2,3,2,400,197600
50,RL,17360,NAmes,6,1949,1556,0,2,3,2,470,172500
20,RL,7207,BrkSide,5,1958,858,1,1,2,0,0,116500
30,RL,5350,BrkSide,3,1940,1306,0,1,3,0,0,76500
20,RL,9920,NAmes,5,1954,1063,1,1,3,1,280,128000
80,RL,9600,NAmes,6,1955,1520,1,1,3,1,364,153000
20,RL,7800,NAmes,5,1954,1268,0,1,2,1,244,132000
85,RL,11380,NAmes,6,1966,1128,1,1,2,1,315,178000
90,RL,11600,NAmes,5,1960,2274,0,2,5,2,480,154300
20,RL,19900,NAmes,7,1970,2207,1,2,3,2,576,180000
20,RL,16492,NAmes,6,1966,1888,0,2,2,2,578,190000
90,RL,8267,NAmes,5,1958,1604,0,2,4,2,576,135000
20,RL,8197,NAmes,7,2003,1480,1,2,3,2,620,214000
20,RL,8050,NAmes,5,1959,1143,1,1,3,1,308,136000
20,RL,10552,NAmes,5,1959,1700,0,1,4,2,447,165500
20,RL,8400,NAmes,5,1957,1314,1,1,3,1,294,145000
20,RL,8760,NAmes,6,1959,1194,1,1,3,1,312,148000
20,RL,12160,NAmes,5,1959,1188,1,1,3,2,531,142000
20,RL,9300,NAmes,5,1960,1264,1,1,3,2,461,167500
20,RL,10725,NAmes,5,1959,1206,0,1,3,1,312,108538
20,RL,10032,NAmes,6,1959,1580,1,1,3,2,440,159500
50,RL,8382,NAmes,4,1956,1337,0,1,3,1,263,108000
20,RL,10950,NAmes,5,1952,1064,0,1,2,1,318,135000
20,RL,10895,NAmes,5,1955,972,0,1,3,1,305,122500
190,RL,13587,NAmes,5,1958,988,1,1,2,1,264,119000
20,RL,7922,NAmes,5,1953,1057,1,1,3,1,246,109000
30,RL,7898,NAmes,4,1920,985,0,1,2,2,676,105000
20,RL,7200,NAmes,5,1955,827,0,1,2,1,392,107500
20,RL,10200,NAmes,5,1954,1086,1,1,3,2,490,144900
20,RL,5868,NAmes,5,1956,936,1,1,2,1,308,129000
50,RL,17503,NAmes,6,1948,1458,0,1,3,1,330,97500
90,RL,6979,OldTown,6,1980,1056,2,0,0,2,576,144000
20,RL,9830,NAmes,5,1959,1287,1,1,3,2,576,162000
80,RL,11275,NAmes,7,1967,2978,0,2,5,2,564,242000
50,RL,8064,NAmes,6,1948,1224,1,1,3,1,280,132000
20,RL,7500,NAmes,5,1959,1246,1,1,3,1,305,154000
50,RL,8520,NAmes,5,1952,1385,0,2,4,2,720,166000
20,RL,7200,NAmes,5,1951,900,0,1,3,2,576,134800
20,RL,10000,NAmes,6,1962,1116,0,1,3,2,440,160000
20,RL,7635,NAmes,5,1960,1175,0,1,3,2,484,148000
20,RL,9760,NAmes,6,1963,1395,1,1,2,2,440,192000
60,RL,7700,NAmes,6,1966,1839,0,1,4,2,442,155000
50,RM,4800,OldTown,4,1900,1844,1,1,3,1,240,80400
50,RM,8800,OldTown,4,1910,1140,0,1,3,0,0,96500
30,RM,4485,OldTown,5,1920,936,1,1,2,0,0,109500
30,RM,8960,OldTown,5,1927,1028,0,1,2,2,360,115000
20,RM,5805,OldTown,5,1957,1347,1,1,3,2,551,143000
50,RM,5790,OldTown,3,1915,1605,0,2,3,1,379,107400
30,RM,4608,OldTown,4,1945,747,0,1,2,1,220,80000
30,RM,7200,OldTown,5,1940,804,1,1,2,1,240,119000
50,RM,5500,OldTown,5,1929,1316,1,1,3,2,484,130000
45,RM,6900,OldTown,6,1938,1251,0,1,3,1,240,119000
50,RM,11851,OldTown,5,1948,1633,0,1,3,1,240,129000
50,RM,8239,OldTown,5,1920,1245,0,1,3,1,315,100000
30,RM,9656,OldTown,2,1923,832,0,1,2,2,780,12789
30,RM,8520,OldTown,6,1928,720,0,1,2,2,484,105900
70,RM,9600,OldTown,8,1900,1566,0,2,3,1,288,150000
50,RM,10800,OldTown,5,1915,1652,1,2,4,1,416,139000
70,RM,9000,OldTown,8,1890,2268,0,3,3,2,624,240000
190,RM,9045,OldTown,5,1910,2256,0,2,4,0,0,76500
20,RM,7407,OldTown,6,1957,1236,1,1,2,2,923,149700
70,RM,7740,OldTown,4,1910,1363,0,1,3,2,528,125500
190,RM,11340,OldTown,4,1885,2290,0,2,4,2,560,122500
70,RM,10560,OldTown,6,1922,1470,0,1,2,2,624,140750
50,RM,5830,BrkSide,5,1950,1612,0,1,3,1,363,128500
75,RL,7793,BrkSide,7,1922,2068,0,1,3,1,315,209500
30,RM,5000,BrkSide,4,1925,765,1,1,2,1,200,87000
50,RM,6000,BrkSide,6,1939,1132,1,1,2,1,240,134000
50,RM,6000,BrkSide,6,1940,1196,0,1,3,2,576,128000
50,RM,6360,BrkSide,5,1942,1453,0,1,3,1,240,132000
50,RM,6000,BrkSide,6,1948,1416,0,1,3,1,312,139900
50,RM,6240,BrkSide,5,1936,1040,0,1,2,2,624,123900
50,RM,6240,BrkSide,5,1930,1536,0,2,4,2,480,138400
30,RM,6120,OldTown,6,1923,1068,1,1,2,1,288,109500
70,RM,10300,OldTown,7,1921,1710,0,2,3,2,480,140000
50,RM,8094,OldTown,4,1915,1962,0,1,4,2,572,149500
70,RM,12900,OldTown,6,1912,1560,0,1,3,0,0,159900
70,RM,3068,OldTown,6,1920,1324,0,1,3,1,180,122000
90,RM,8472,IDOTRR,5,1963,816,1,1,2,2,516,110000
190,RM,5600,IDOTRR,4,1930,1092,0,2,3,0,0,55000
190,RM,7630,OldTown,5,1900,1812,0,2,4,2,672,140000
70,RL,24090,ClearCr,7,1940,2403,0,2,4,1,349,244400
20,RL,15263,ClearCr,5,1959,1675,0,2,3,1,365,173000
50,RL,10632,ClearCr,5,1917,1224,0,1,3,1,180,107500
190,RL,9900,SWISU,5,1915,1392,1,1,3,0,0,100000
50,RL,6001,SWISU,6,1940,919,0,1,3,1,231,95000
70,C (all),6449,SWISU,4,1907,1884,0,1,4,0,0,93369
190,RH,6048,SWISU,5,1910,1680,1,2,2,2,450,114900
50,RL,6342,Sawyer,5,1875,1020,0,1,2,0,0,94000
90,RL,10773,Sawyer,4,1967,1832,2,2,4,0,0,136000
90,RL,10778,Sawyer,4,1968,1768,0,2,4,0,0,136500
190,RL,11625,Sawyer,5,1965,1039,1,1,3,2,504,131500
20,RL,11341,Sawyer,5,1957,1392,1,1,3,2,528,121500
20,RL,8521,Sawyer,5,1967,912,0,1,3,1,336,125000
20,RL,8246,Sawyer,5,1968,1060,1,1,3,1,270,154000
20,RL,7800,Sawyer,5,1966,892,1,1,3,1,416,137900
60,RL,9364,Sawyer,6,1969,1352,0,1,4,1,299,158000
20,RL,7832,Sawyer,5,1968,864,1,1,2,1,280,137250
90,RL,7424,Sawyer,5,1978,1373,1,1,3,2,591,160250
60,RL,11227,Sawyer,5,1968,1440,0,1,4,2,480,163000
60,RL,11616,Sawyer,6,1978,1386,0,2,3,2,440,158900
60,RL,14000,ClearCr,7,1996,2260,1,2,3,2,533,328000
20,RL,20062,ClearCr,7,1977,1483,1,1,1,2,690,270000
30,RL,9259,Sawyer,4,1927,756,0,1,2,2,440,85000
20,RL,9600,Sawyer,4,1950,1067,0,2,2,2,436,128000
40,RL,23595,ClearCr,7,1979,1524,2,0,0,2,586,260000
60,RL,17082,ClearCr,6,1978,1981,1,2,4,2,522,230000
50,RL,18600,Edwards,3,1938,1610,0,2,4,1,480,124000
30,RL,10625,Edwards,5,1920,835,0,1,2,1,366,83000
20,RL,11479,Edwards,6,1950,1074,1,1,3,1,467,144500
20,RL,9571,Edwards,5,1956,1144,1,1,3,1,596,129000
50,RL,9350,Edwards,4,1947,1531,0,1,3,1,209,127000
20,RL,9525,Edwards,5,1954,1172,1,1,3,1,366,128000
20,RL,10420,Edwards,6,2009,1212,0,2,3,2,460,186000
20,RL,17485,Edwards,7,2009,1508,1,1,1,2,572,308030
20,RL,11200,Edwards,5,1964,1298,0,2,3,2,504,114000
20,RL,11100,Edwards,4,1946,930,0,1,2,1,308,84900
60,RL,9206,SawyerW,6,1985,1732,0,2,3,2,476,178000
20,RL,11980,SawyerW,7,1987,1433,1,1,1,2,528,270000
60,RL,12361,SawyerW,6,1993,1802,0,2,3,4,1017,218000
60,RL,9938,SawyerW,7,1993,1949,1,2,3,2,574,236000
85,RL,9069,SawyerW,6,1992,996,1,1,2,2,564,147000
20,RL,10475,CollgCr,8,2008,1694,0,2,3,3,776,245350
20,RL,6762,CollgCr,7,2006,1208,1,2,2,2,632,206000
20,RL,10402,CollgCr,7,2009,1226,0,2,3,3,740,198900
20,RL,7360,CollgCr,7,2010,1222,0,2,2,2,615,187000
60,RL,12376,SawyerW,7,1990,3222,1,3,5,3,594,320000
50,RL,14235,SawyerW,6,1900,1445,0,2,3,2,484,138500
80,RL,8816,ClearCr,6,1971,1052,1,1,3,2,440,155000
85,RL,11105,CollgCr,5,1996,965,1,1,2,2,580,159000
60,RL,9337,CollgCr,7,1997,1692,0,2,3,2,513,191000
60,RL,8750,CollgCr,6,1998,1682,0,2,3,2,523,200500
20,RL,15240,CollgCr,5,1977,1026,1,1,3,1,308,150000
60,RL,10900,CollgCr,6,1977,1392,0,1,3,1,299,161750
20,RL,10650,CollgCr,5,1976,894,1,1,3,1,308,128200
20,RL,7480,CollgCr,5,1972,876,1,1,3,2,484,127000
20,RL,10389,CollgCr,8,2003,1978,1,2,3,3,850,318000
20,RL,11423,CollgCr,8,2001,1601,1,2,3,2,670,272000
60,RL,9548,CollgCr,7,2003,1829,1,2,3,2,613,237000
60,RL,9375,CollgCr,7,1997,2098,0,2,4,2,621,240000
20,RL,12137,CollgCr,7,1998,1661,0,2,3,2,598,224900
120,RM,4435,CollgCr,6,2003,848,1,1,1,2,420,143750
120,RM,4426,CollgCr,6,2004,848,1,1,1,2,420,143000
20,RL,10635,CollgCr,8,2003,1668,1,2,3,2,502,232000
20,RL,8400,CollgCr,7,2004,1484,1,2,3,2,606,213000
20,RL,8773,CollgCr,7,2004,1414,0,2,3,2,494,185500
30,RL,8777,Edwards,3,1945,640,0,1,2,1,240,84900
20,RL,8842,Edwards,5,1954,992,0,1,3,1,319,155891
90,RL,9825,Edwards,5,1965,1664,0,2,4,0,0,100000
20,RL,10044,Edwards,5,1968,1196,1,1,3,1,336,144000
50,RL,11792,Edwards,4,1948,1120,0,1,2,2,480,64000
80,RL,6305,Edwards,6,1975,1096,1,1,3,1,352,125200
80,RL,7819,Edwards,6,1976,1117,1,1,3,2,672,107000
20,RL,6410,Edwards,4,1958,960,0,1,3,0,0,90000
20,RM,8546,Edwards,4,2003,1121,0,2,2,2,440,140000
50,RL,8741,Edwards,6,1945,1487,0,1,3,1,220,113000
190,RL,12180,Edwards,4,1941,924,1,1,2,1,280,80000
20,RL,8562,Edwards,5,1957,1526,0,1,4,1,364,144500
30,RL,4853,SWISU,5,1924,1296,0,2,2,1,260,104000
70,RL,6858,SWISU,6,1915,1647,1,1,4,1,216,128000
30,RL,8212,Edwards,3,1914,864,1,1,2,1,200,58500
50,RL,5000,SWISU,5,1924,1691,0,2,3,1,308,127000
30,RL,7890,SWISU,6,1939,856,1,1,2,2,399,126000
90,RH,7200,SWISU,4,1967,2650,0,3,6,0,0,160000
50,RL,9839,SWISU,5,1931,1666,1,1,3,0,0,100000
50,RL,9638,SWISU,6,1919,2447,0,2,4,1,336,169000
50,RL,10452,Crawfor,7,1941,2133,1,1,4,1,312,257500
90,RL,15600,Crawfor,5,1950,2177,0,2,5,2,484,215000
70,RL,9042,Crawfor,7,1941,2340,0,2,4,1,252,266500
20,RL,17500,Crawfor,7,1959,1902,1,2,3,2,567,335000
80,RL,19645,Crawfor,7,1994,1652,1,2,3,2,473,203135
120,RM,3907,Blueste,8,1989,1034,1,1,1,2,598,185000
120,RM,3907,Blueste,8,1989,1191,0,2,2,2,531,162500
20,RL,15602,Crawfor,7,1959,1801,1,2,1,2,484,289000
50,RM,5436,IDOTRR,4,1922,1154,1,1,3,1,240,125500
30,RM,8154,IDOTRR,2,1941,540,0,1,1,1,200,82000
50,RM,9140,IDOTRR,6,1921,1107,0,1,2,1,625,110000
50,C (all),7500,IDOTRR,4,1920,1128,0,1,2,2,528,68400
50,C (all),8712,IDOTRR,4,1900,1178,0,1,2,1,384,102776
20,C (all),8712,IDOTRR,5,1952,1044,0,1,2,2,504,55993
30,C (all),8712,IDOTRR,4,1896,952,0,1,3,1,330,50138
120,RM,3811,Crawfor,8,2004,1646,1,2,2,2,525,246000
60,RL,11050,Mitchel,8,1998,1916,1,2,3,3,741,254900
80,RL,9620,Mitchel,6,1977,1285,0,2,3,2,473,190000
20,RL,9196,Mitchel,7,2003,1560,0,2,3,2,573,201000
80,RL,12328,Mitchel,6,1976,1034,1,1,3,3,888,169900
90,RL,12760,Mitchel,6,1976,2048,0,3,5,2,776,170000
20,RL,57200,Timber,5,1948,1687,1,1,3,2,572,160000
20,RL,11896,Timber,7,2008,1346,1,2,3,3,660,220000
20,RL,9803,Timber,7,2009,1214,0,2,2,2,520,179781
60,RL,9802,Timber,5,2006,1444,0,2,3,2,400,174000
60,RL,12003,Timber,8,2009,1968,0,2,4,3,680,269500
60,RL,11316,Timber,7,2002,1894,1,2,4,2,510,214900
60,RL,14191,Timber,8,2002,1908,0,2,4,2,431,202900
20,RL,13214,Timber,9,2008,2018,0,2,3,3,746,378500
20,RL,15300,Mitchel,5,1965,1264,1,1,2,2,528,169000
20,RL,10114,Mitchel,5,2004,1430,0,2,3,2,624,173500
90,RL,9400,Mitchel,6,1971,1824,0,2,4,0,0,139000
20,RL,11875,Mitchel,5,1999,1344,0,2,3,2,686,166500
160,RM,1974,MeadowV,4,1973,1092,0,1,3,1,286,83500
120,RM,2394,MeadowV,5,1973,945,1,1,2,1,253,119500
160,RM,2592,MeadowV,5,1976,1112,0,1,3,1,336,85000
160,RM,1476,MeadowV,4,1970,1092,0,1,3,0,0,76000
180,RM,1491,MeadowV,4,1972,630,1,1,1,0,0,75500
160,RM,1900,MeadowV,4,1970,1092,0,1,3,0,0,88250
160,RM,1890,MeadowV,4,1972,1092,0,1,3,1,286,85500
20,RL,6953,Mitchel,5,1971,874,0,1,3,1,352,130000
20,RL,26142,Mitchel,5,1962,1188,0,1,3,1,312,157900
20,RL,12887,Mitchel,5,1984,833,1,1,2,2,495,149900
90,RL,7700,Mitchel,5,1985,2432,0,4,4,2,616,159000
60,RL,10475,Mitchel,5,1991,1274,0,1,3,2,576,136000
50,RL,10544,Mitchel,5,1969,1479,0,2,5,1,275,161000
20,RL,9892,Mitchel,8,1994,1803,1,2,3,2,482,285000
60,RL,12961,Mitchel,6,1993,1797,1,2,3,2,616,231000
20,RL,13008,NAmes,6,1956,882,0,1,2,1,502,124500
20,RL,10200,NAmes,6,1974,1434,1,2,4,2,528,157000
80,RL,13860,NAmes,8,1972,2704,1,2,4,2,538,345000
60,RL,10179,Gilbert,6,1997,1608,0,2,3,2,470,189500
60,RL,11792,Gilbert,8,2003,2283,0,2,4,3,632,270000
80,RL,8400,Gilbert,7,1996,1628,0,2,3,2,390,189000
20,RL,14892,Gilbert,9,2006,1746,1,2,3,3,758,377500
80,RL,8530,Gilbert,7,1995,1474,0,2,3,2,400,168500
120,RL,7296,StoneBr,8,2004,2522,1,2,1,2,564,375000
120,RL,5664,StoneBr,8,2000,1659,1,2,2,2,499,278000
120,RL,7380,StoneBr,8,1998,1478,1,2,2,2,495,240000
120,RL,8013,StoneBr,8,1995,1734,1,2,2,2,528,239500
80,RL,8923,Gilbert,7,1998,1382,0,2,3,2,396,177500
60,RL,10141,Gilbert,7,1998,1718,0,2,3,2,427,185000
60,RL,7500,Gilbert,6,1998,1636,1,2,3,2,440,191000
60,RL,7837,Gilbert,6,1993,1571,0,2,3,2,380,178000
60,RL,9765,Gilbert,6,1993,1470,0,2,3,2,420,185000
60,RL,8803,Gilbert,6,1994,1516,1,2,3,2,409,181316
20,RL,7250,Gilbert,6,1993,1190,0,2,3,2,430,166000
60,RL,9636,Gilbert,6,1992,1593,0,2,3,2,389,178000
60,RL,8125,Gilbert,6,1994,1481,0,2,3,2,343,174000
20,RL,9248,Gilbert,6,1992,1167,1,2,3,2,400,173000
60,RL,10762,Gilbert,7,1999,1983,0,2,3,2,490,225000
20,RL,11851,Gilbert,7,1990,1442,0,2,3,2,500,180500
120,RL,5814,StoneBr,8,1984,1360,1,1,1,2,565,187500
20,RL,17423,StoneBr,9,2008,2234,1,2,1,3,1166,501837
20,RL,11844,StoneBr,8,2008,2046,0,2,3,3,834,372500
20,RL,16158,StoneBr,7,2005,1530,1,2,3,2,430,260000
60,RL,11900,Gilbert,5,1977,1934,1,2,3,2,567,185000
60,RL,13005,NWAmes,7,1980,2353,1,2,4,2,484,260000
20,RL,17043,NWAmes,6,1979,1586,0,2,3,2,435,181000
20,RL,11900,NWAmes,7,1977,1411,0,2,3,2,544,82500
20,RL,16635,NWAmes,6,1977,1602,0,2,3,2,529,215000
60,RL,13250,NWAmes,7,1978,2050,0,2,4,2,529,154000
20,RL,10928,NWAmes,6,1978,1671,0,2,3,2,484,200000
60,RL,12388,NWAmes,7,1980,2673,0,2,4,2,441,249000
80,RL,14115,NWAmes,7,1980,1472,1,2,3,2,588,187500
20,RL,11088,NWAmes,6,1978,1707,0,2,3,2,479,184000
20,RL,9600,NWAmes,8,1981,2524,1,2,4,2,542,278000
20,RL,11880,NWAmes,7,1978,1601,0,2,3,2,478,157000
20,RL,10400,NWAmes,7,1976,1370,0,2,3,2,479,152000
60,RL,10304,NWAmes,5,1976,1868,1,2,4,2,484,197500
60,FV,7000,Somerst,7,2003,1884,1,2,3,2,581,240900
60,FV,8004,Somerst,8,2009,1935,1,2,3,2,552,263435
60,FV,7500,Somerst,8,2000,1874,0,2,3,2,588,220000
60,FV,8470,Somerst,8,2002,1811,0,2,3,2,565,235000
20,RL,9373,NWAmes,5,1975,1621,1,2,3,2,478,213000
20,RL,10140,NWAmes,6,1974,1116,1,2,3,2,528,167900
20,RL,11050,NWAmes,7,1975,1193,0,2,3,2,506,158000
20,RL,10140,NWAmes,6,1974,1350,0,2,3,2,478,165000
80,RL,10448,NWAmes,6,1972,2119,0,2,3,2,583,158000
90,RL,9000,NAmes,5,1974,1792,0,2,4,0,0,136000
20,RL,8750,NAmes,5,1970,1002,1,1,3,2,902,148500
20,RL,7930,NAmes,6,1969,1026,1,1,3,2,440,156000
20,RL,7830,NAmes,5,1970,1180,0,1,2,2,477,128000
20,RL,8510,NAmes,5,1971,1050,1,1,3,1,336,143000
20,RL,7038,NAmes,4,1970,864,1,1,3,2,576,76500
20,RL,6960,NAmes,4,1970,864,0,1,3,2,660,120500
20,RL,8120,NAmes,4,1970,864,0,1,3,2,463,124500
